 M(1) = 0 S = 0 powers of k:  1
 M(2) = 1 S = 1 powers of k:  1 2
 M(3) = 2 S = 3 powers of k:  1 2 3
 M(4) = 2 S = 5 powers of k:  1 2 4
 M(5) = 3 S = 8 powers of k:  1 2 3 5
 M(6) = 3 S = 11 powers of k:  1 2 3 6
 M(7) = 4 S = 15 powers of k:  1 2 3 4 7
 M(8) = 3 S = 18 powers of k:  1 2 4 8
 M(9) = 4 S = 22 powers of k:  1 2 3 6 9
 M(10) = 4 S = 26 powers of k:  1 2 3 5 10
 M(11) = 5 S = 31 powers of k:  1 2 3 4 7 11
 M(12) = 4 S = 35 powers of k:  1 2 3 6 12
 M(13) = 5 S = 40 powers of k:  1 2 3 5 8 13
 M(14) = 5 S = 45 powers of k:  1 2 3 4 7 14
 M(15) = 5 S = 50 powers of k:  1 2 3 5 10 15
 M(16) = 4 S = 54 powers of k:  1 2 4 8 16
 M(17) = 5 S = 59 powers of k:  1 2 4 8 9 17
 M(18) = 5 S = 64 powers of k:  1 2 3 6 9 18
 M(19) = 6 S = 70 powers of k:  1 2 3 4 8 11 19
 M(20) = 5 S = 75 powers of k:  1 2 3 5 10 20
 M(21) = 6 S = 81 powers of k:  1 2 3 4 7 14 21
 M(22) = 6 S = 87 powers of k:  1 2 3 4 7 11 22
 M(23) = 6 S = 93 powers of k:  1 2 3 5 10 13 23
 M(24) = 5 S = 98 powers of k:  1 2 3 6 12 24
 M(25) = 6 S = 104 powers of k:  1 2 3 5 10 15 25
 M(26) = 6 S = 110 powers of k:  1 2 3 5 8 13 26
 M(27) = 6 S = 116 powers of k:  1 2 3 6 9 18 27
 M(28) = 6 S = 122 powers of k:  1 2 3 4 7 14 28
 M(29) = 7 S = 129 powers of k:  1 2 3 4 7 11 18 29
 M(30) = 6 S = 135 powers of k:  1 2 3 5 10 15 30
 M(31) = 7 S = 142 powers of k:  1 2 3 4 7 14 17 31
 M(32) = 5 S = 147 powers of k:  1 2 4 8 16 32
 M(33) = 6 S = 153 powers of k:  1 2 4 8 16 17 33
 M(34) = 6 S = 159 powers of k:  1 2 4 8 9 17 34
 M(35) = 7 S = 166 powers of k:  1 2 3 4 7 14 21 35
 M(36) = 6 S = 172 powers of k:  1 2 3 6 9 18 36
 M(37) = 7 S = 179 powers of k:  1 2 3 5 8 16 21 37
 M(38) = 7 S = 186 powers of k:  1 2 3 4 8 11 19 38
 M(39) = 7 S = 193 powers of k:  1 2 3 5 8 13 26 39
 M(40) = 6 S = 199 powers of k:  1 2 3 5 10 20 40
 M(41) = 7 S = 206 powers of k:  1 2 3 5 10 20 21 41
 M(42) = 7 S = 213 powers of k:  1 2 3 4 7 14 21 42
 M(43) = 7 S = 220 powers of k:  1 2 3 5 10 20 23 43
 M(44) = 7 S = 227 powers of k:  1 2 3 4 7 11 22 44
 M(45) = 7 S = 234 powers of k:  1 2 3 5 10 15 30 45
 M(46) = 7 S = 241 powers of k:  1 2 3 5 10 13 23 46
 M(47) = 8 S = 249 powers of k:  1 2 3 4 7 10 20 27 47
 M(48) = 6 S = 255 powers of k:  1 2 3 6 12 24 48
 M(49) = 7 S = 262 powers of k:  1 2 3 6 12 24 25 49
 M(50) = 7 S = 269 powers of k:  1 2 3 5 10 15 25 50
 M(51) = 7 S = 276 powers of k:  1 2 3 6 12 24 27 51
 M(52) = 7 S = 283 powers of k:  1 2 3 5 8 13 26 52
 M(53) = 8 S = 291 powers of k:  1 2 3 5 6 12 24 29 53
 M(54) = 7 S = 298 powers of k:  1 2 3 6 9 18 27 54
 M(55) = 8 S = 306 powers of k:  1 2 3 4 7 11 22 33 55
 M(56) = 7 S = 313 powers of k:  1 2 3 4 7 14 28 56
 M(57) = 8 S = 321 powers of k:  1 2 3 4 7 14 28 29 57
 M(58) = 8 S = 329 powers of k:  1 2 3 4 7 11 18 29 58
 M(59) = 8 S = 337 powers of k:  1 2 3 4 7 14 28 31 59
 M(60) = 7 S = 344 powers of k:  1 2 3 5 10 15 30 60
 M(61) = 8 S = 352 powers of k:  1 2 3 5 7 14 28 33 61
 M(62) = 8 S = 360 powers of k:  1 2 3 4 7 14 17 31 62
 M(63) = 8 S = 368 powers of k:  1 2 3 4 7 14 21 42 63
 M(64) = 6 S = 374 powers of k:  1 2 4 8 16 32 64
 M(65) = 7 S = 381 powers of k:  1 2 4 8 16 32 33 65
 M(66) = 7 S = 388 powers of k:  1 2 4 8 16 17 33 66
 M(67) = 8 S = 396 powers of k:  1 2 3 4 8 16 32 35 67
 M(68) = 7 S = 403 powers of k:  1 2 4 8 9 17 34 68
 M(69) = 8 S = 411 powers of k:  1 2 3 5 8 16 32 37 69
 M(70) = 8 S = 419 powers of k:  1 2 3 4 7 14 21 35 70
 M(71) = 9 S = 428 powers of k:  1 2 3 4 7 8 16 32 39 71
 M(72) = 7 S = 435 powers of k:  1 2 3 6 9 18 36 72
